,,Property,,,Chemical compositions,,,,,,,,,,,,,,,Processing actions,,,,,,,,
Number,Temperature(K),YS(Mpa),UTS(Mpa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ti(at%),Ta(at%),V(at%),Mn(at%),Cu(at%),Mo(at%),C(at%),V(at%),W(at%),Nb(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,
48,77,480.0,1725.0,55.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
49,293,260.0,980.0,45.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
50,77,602.0,1863.0,51.0,0.0,24.9425,24.9425,24.9425,24.9425,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,,0,,,,,,0,
51,293,360.0,1238.0,48.0,0.0,24.9425,24.9425,24.9425,24.9425,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,,0,,,,,,0,
52,293,702.0,1240.0,36.0,0.0,24.95,24.95,24.95,24.95,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,0,1373.0,1.0,,,1073.0,1.0,
53,77,860.0,1580.0,46.0,0.0,24.95,24.95,24.95,24.95,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,0,1373.0,1.0,,,1073.0,1.0,
54,293,524.0,889.0,43.3,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,1073.0,1.0,,,,0,
55,198,580.0,1024.0,49.5,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,1073.0,1.0,,,,0,
56,77,728.0,1290.0,58.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,1073.0,1.0,,,,0,
57,293,289.0,777.0,70.5,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,1073.0,1.0,1173.0,1.0,,0,
58,198,337.0,886.0,77.5,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,1073.0,1.0,1173.0,1.0,,0,
59,77,486.0,1120.0,79.0,0.0,33.3,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,1073.0,1.0,1173.0,1.0,,0,
60,298,595.0,998.0,52.0,6.0,30.66,30.66,0.0,30.66,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.0,0,,,,,,0,
61,77,786.0,1351.0,90.0,6.0,30.66,30.66,0.0,30.66,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.0,0,,,,,,0,
62,295,331.0,1009.0,45.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1073.0,1.0,,0,
63,140,502.0,1886.0,58.7,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1073.0,1.0,,0,
64,40,637.0,2377.0,58.9,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1073.0,1.0,,0,
65,25,676.0,2396.0,58.4,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1073.0,1.0,,0,
66,298,424.0,1099.0,52.0,0.0,30.0,10.0,45.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1473.0,0,,,1123.0,1.0,,0,
67,77,457.0,1617.0,49.0,0.0,30.0,10.0,45.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1473.0,0,,,1123.0,1.0,,0,
68,298,1080.0,1380.0,20.0,10.0,29.33,29.33,0.0,29.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.0,0,,,,,,0,
69,77,1450.0,1830.0,25.0,10.0,29.33,29.33,0.0,29.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.0,0,,,,,,0,
70,293,836.7,1070.0,32.5,3.1,31.8,31.0,0.0,31.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
71,103,996.9,1423.6,40.6,3.1,31.8,31.0,0.0,31.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
72,293,921.1,1346.4,27.2,3.1,31.8,31.0,0.0,31.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.0,0,,,,,973.0,2.0,
73,103,1123.7,1702.9,25.4,3.1,31.8,31.0,0.0,31.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.0,0,,,,,973.0,2.0,
74,298,1570.0,1850.0,12.1,24.475,24.475,24.475,24.475,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,813.0,20.0,,0,
75,77,2250.0,2520.0,14.3,24.475,24.475,24.475,24.475,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,813.0,20.0,,0,
76,77,2022.0,2309.0,21.2,5.0,40.0,20.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,973.0,2.0,,0,
77,293,1729.0,1888.0,16.0,5.0,40.0,20.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,973.0,2.0,,0,
78,77,600.2,840.4,70.0,0.0,24.625,24.625,0.0,24.625,0.0,0.0,0.0,24.625,1.5,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
79,298,431.5,575.0,57.0,0.0,24.625,24.625,0.0,24.625,0.0,0.0,0.0,24.625,1.5,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
80,77,595.1,844.9,64.0,0.0,24.625,24.625,0.0,24.625,0.0,0.0,0.0,24.625,1.5,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
81,298,434.4,581.8,52.0,0.0,24.625,24.625,0.0,24.625,0.0,0.0,0.0,24.625,1.5,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
82,293,,757.0,60.5,0.0,9.0,9.0,53.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,6.0,,0,
83,223,,907.0,69.6,0.0,9.0,9.0,53.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,6.0,,0,
84,298,242.0,508.0,70.0,0.0,0.0,12.0,64.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1273.0,1.0,,0,
85,77,527.0,1090.0,72.0,0.0,0.0,12.0,64.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1273.0,1.0,,0,
86,298,230.0,482.0,67.0,0.0,0.0,12.0,60.0,12.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1273.0,1.0,,0,
87,77,489.0,1050.0,86.0,0.0,0.0,12.0,60.0,12.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1273.0,1.0,,0,
88,298,223.0,460.0,58.0,0.0,0.0,12.0,56.0,12.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1273.0,1.0,,0,
