,Property,,,Chemical compositions,,,,,,,,,,,,,,,Processing actions,,,,,,,
Number,YS(Mpa),UTS(Mpa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ti(at%),Ta(at%),V(at%),Mn(at%),Cu(at%),Mo(at%),C(at%),V(at%),W(at%),Nb(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours
102,807,999,14,7,23.25,23.25,23.25,23.25,0,0,0,0,0,0,0,0,0,0,1423,50,298,0,973,24,298,0
103,939,1068,14,7,23.25,23.25,23.25,23.25,0,0,0,0,0,0,0,0,0,0,1423,50,298,0,973,48,298,0
104,401,727,48,9.9,0,0,59,0,0,0,0,29.8,0,0,1.3,0,0,0,1473,25,298,0,1123,1,298,0
105,740,1260,43.9,0,23,23,0,23,0,0,0,31,0,0,0,0,0,0,1373,50,298,0,1173,0.5,298,0
106,390,705,57,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,1473,80,298,0,1073,1,298,0
107,530,920,60,0,33.3333,33.3333,0,33.3333,0,0,0,0,0,0,0,0,0,0,1473,80,298,0,1073,1,298,0
108,615.8,1129.8,52.8,0,33.3333,0,0,33.3333,0,0,33.3333,0,0,0,0,0,0,0,1473,82,298,0,1373,0.5,298,0
109,1506,1529,10,0,35.42,14.5,14.92,21.43,0,0,7.99,3.25,2.49,0,0,0,0,0,1373,80,298,0,953,0.225,298,0
110,1110,1180,20.6,0,35.42,14.5,14.92,21.43,0,0,7.99,3.25,2.49,0,0,0,0,0,1373,80,298,0,1073,0.083333333,298,0
111,690,947,46.4,0,35.42,14.5,14.92,21.43,0,0,7.99,3.25,2.49,0,0,0,0,0,1373,80,298,0,1073,0.166666667,298,0
112,670,935,50,0,35.42,14.5,14.92,21.43,0,0,7.99,3.25,2.49,0,0,0,0,0,1373,80,298,0,1123,0.166666667,298,0
113,1021,1120,7.1,0,20,20,20,20,0,0,0,0,20,0,0,0,0,0,1273,91,298,0,0,0,298,0
114,970,1085,6.1,0,17.51,17.51,17.51,17.51,0,0,0,0,29.96,0,0,0,0,0,1273,91,298,0,0,0,298,0
115,506,635,47.3,0,20,20,20,20,0,0,0,0,20,0,0,0,0,0,1273,91,298,0,1173,1,298,0
116,477,600,53,0,17.51,17.51,17.51,17.51,0,0,0,0,29.96,0,0,0,0,0,1273,91,298,0,1173,1,298,0
117,1520,1520,4,0,20.06,20.14,19.42,19.75,0,0,0,19.27,0,0,1.36,0,0,0,1493,95,298,0,0,0,298,0
